"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 19, 2020","1,489.40","1,496.60","1,508.00","1,476.90","2.21K","0.15%"
"Mar 18, 2020","1,487.10","1,547.00","1,551.10","1,485.20","2.49K","-3.06%"
"Mar 17, 2020","1,534.10","1,504.50","1,561.50","1,476.30","3.41K","2.70%"
"Mar 16, 2020","1,493.80","1,573.00","1,578.60","1,458.80","2.74K","-2.04%"
"Mar 13, 2020","1,524.90","1,592.60","1,604.20","1,514.30","2.51K","-4.62%"
"Mar 12, 2020","1,598.80","1,648.60","1,655.20","1,568.70","3.05K","-3.15%"
"Mar 11, 2020","1,650.80","1,657.90","1,677.60","1,641.70","4.20K","-1.09%"
"Mar 10, 2020","1,669.00","1,675.00","1,679.30","1,651.50","3.67K","-0.90%"
"Mar 09, 2020","1,684.10","1,700.00","1,712.10","1,668.10","3.54K","0.07%"
"Mar 06, 2020","1,683.00","1,683.60","1,703.60","1,657.70","4.50K","0.15%"
"Mar 05, 2020","1,680.40","1,653.40","1,687.20","1,653.00","2.37K","1.44%"
"Mar 04, 2020","1,656.50","1,660.10","1,661.10","1,647.30","3.92K","-0.14%"
"Mar 03, 2020","1,658.80","1,606.50","1,663.80","1,606.50","3.14K","3.05%"
"Mar 02, 2020","1,609.70","1,609.10","1,626.00","1,593.90","2.37K","1.65%"
"Feb 28, 2020","1,583.60","1,667.10","1,667.10","1,582.00","6.31K","-4.68%"
"Feb 27, 2020","1,661.40","1,668.00","1,680.30","1,656.00","3.96K","-0.09%"
"Feb 26, 2020","1,662.90","1,656.40","1,676.70","1,646.70","3.59K","-0.44%"
"Feb 25, 2020","1,670.20","1,681.60","1,681.60","1,650.00","3.36K","-1.59%"
"Feb 24, 2020","1,697.10","1,673.30","1,711.80","1,673.30","9.96K","1.68%"
"Feb 21, 2020","1,669.10","1,645.50","1,671.20","1,642.40","1.86K","1.72%"
"Feb 20, 2020","1,640.80","1,634.00","1,645.50","1,627.70","1.31K","0.53%"
"Feb 19, 2020","1,632.20","1,625.00","1,634.80","1,623.30","1.40K","0.50%"
"Feb 18, 2020","1,624.00","1,605.00","1,628.30","1,603.50","1.62K","2.33%"
"Feb 17, 2020","1,587.05","1,586.15","1,588.45","1,581.85","-","0.05%"
"Feb 16, 2020","1,586.25","1,585.50","1,586.25","1,583.45","-","-1.29%"
"Feb 14, 2020","1,606.90","1,601.00","1,608.40","1,597.30","1.56K","0.46%"
"Feb 13, 2020","1,599.60","1,594.40","1,602.00","1,594.00","1.73K","0.45%"
"Feb 12, 2020","1,592.40","1,590.80","1,593.90","1,587.50","2.05K","0.08%"
"Feb 11, 2020","1,591.10","1,597.30","1,597.90","1,587.10","1.86K","-0.60%"
"Feb 10, 2020","1,600.70","1,599.50","1,601.50","1,594.20","1.66K","0.36%"
"Feb 07, 2020","1,595.00","1,591.00","1,598.30","1,588.40","0.84K","0.21%"
"Feb 06, 2020","1,591.70","1,580.70","1,592.40","1,579.30","1.31K","0.44%"
"Feb 05, 2020","1,584.70","1,579.40","1,587.00","1,573.00","2.05K","0.46%"
"Feb 04, 2020","1,577.50","1,602.30","1,602.30","1,576.00","1.84K","-1.65%"
"Feb 03, 2020","1,604.00","1,618.80","1,619.60","1,595.00","1.02K","-0.34%"
"Jan 31, 2020","1,609.40","1,599.70","1,615.30","1,597.70","3.06K","-0.08%"
"Jan 30, 2020","1,610.70","1,601.60","1,612.00","1,599.00","1.50K","0.80%"
"Jan 29, 2020","1,597.90","1,594.50","1,603.60","1,589.30","4.24K","0.06%"
"Jan 28, 2020","1,596.90","1,606.70","1,607.10","1,593.40","10.91K","-0.48%"
"Jan 27, 2020","1,604.60","1,610.00","1,612.80","1,602.80","1.93K","0.35%"
"Jan 24, 2020","1,599.00","1,589.10","1,601.40","1,584.00","2.62K","0.43%"
"Jan 23, 2020","1,592.10","1,585.00","1,593.50","1,580.10","1.75K","0.54%"
"Jan 22, 2020","1,583.50","1,583.10","1,585.50","1,577.60","1.96K","-0.08%"
"Jan 21, 2020","1,584.70","1,584.00","1,593.80","1,573.60","2.14K","1.50%"
"Jan 20, 2020","1,561.25","1,557.20","1,562.70","1,556.65","-","0.27%"
"Jan 19, 2020","1,557.05","1,557.40","1,559.05","1,556.45","-","-1.90%"
"Jan 17, 2020","1,587.20","1,578.60","1,588.00","1,577.10","1.54K","0.65%"
"Jan 16, 2020","1,576.90","1,580.40","1,583.40","1,575.00","1.86K","-0.22%"
"Jan 15, 2020","1,580.30","1,575.90","1,582.20","1,573.40","2.10K","0.58%"
"Jan 14, 2020","1,571.20","1,573.20","1,573.90","1,563.40","1.76K","-0.40%"
"Jan 13, 2020","1,577.50","1,586.80","1,586.80","1,574.90","2.70K","-0.60%"
"Jan 10, 2020","1,587.00","1,577.60","1,589.60","1,574.10","2.73K","0.35%"
"Jan 09, 2020","1,581.40","1,583.00","1,587.50","1,570.20","1.43K","-0.35%"
"Jan 08, 2020","1,587.00","1,603.30","1,637.90","1,581.50","3.32K","-0.89%"
"Jan 07, 2020","1,601.30","1,594.50","1,605.50","1,586.50","2.57K","0.33%"
"Jan 06, 2020","1,596.10","1,590.20","1,615.30","1,590.00","2.80K","1.04%"
"Jan 03, 2020","1,579.60","1,561.60","1,583.60","1,561.60","5.12K","1.57%"
"Jan 02, 2020","1,555.20","1,548.70","1,559.50","1,548.20","1.25K","2.25%"
"Jan 01, 2020","1,520.95","1,520.85","1,523.95","1,520.85","-","-1.91%"
"Dec 31, 2019","1,550.60","1,546.70","1,555.00","1,546.40","0.67K","0.34%"
"Dec 30, 2019","1,545.40","1,543.90","1,545.50","1,540.10","0.46K","0.06%"
"Dec 27, 2019","1,544.40","1,540.70","1,545.00","1,540.00","0.29K","0.27%"
"Dec 26, 2019","1,540.30","1,528.90","1,543.00","1,528.40","1.02K","2.41%"
"Dec 25, 2019","1,504.05","1,504.40","1,504.40","1,502.15","-","-1.73%"
"Dec 24, 2019","1,530.50","1,518.60","1,530.10","1,518.60","0.45K","1.06%"
"Dec 23, 2019","1,514.40","1,510.70","1,514.90","1,510.70","0.39K","0.53%"
"Dec 20, 2019","1,506.40","1,508.10","1,510.00","1,505.20","0.44K","-0.24%"
"Dec 19, 2019","1,510.00","1,505.40","1,510.40","1,503.50","0.57K","0.38%"
"Dec 18, 2019","1,504.30","1,506.40","1,508.50","1,501.70","1.56K","-0.17%"
"Dec 17, 2019","1,506.80","1,505.80","1,510.00","1,505.00","0.21K","0.01%"
"Dec 16, 2019","1,506.70","1,505.40","1,509.40","1,503.90","0.42K","-0.01%"
"Dec 13, 2019","1,506.90","1,493.00","1,507.90","1,493.00","0.47K","0.63%"
"Dec 12, 2019","1,497.50","1,511.20","1,514.00","1,494.10","0.17K","-0.17%"
"Dec 11, 2019","1,500.10","1,500.00","1,507.00","1,497.50","0.14K","0.46%"
"Dec 10, 2019","1,493.20","1,490.60","1,496.00","1,489.70","0.14K","0.23%"
"Dec 09, 2019","1,489.80","1,493.20","1,493.20","1,489.40","0.30K","-0.01%"
"Dec 06, 2019","1,489.90","1,503.00","1,506.00","1,488.00","0.44K","-1.17%"
"Dec 05, 2019","1,507.50","1,505.00","1,508.00","1,503.00","0.23K","0.20%"
"Dec 04, 2019","1,504.50","1,509.10","1,513.50","1,502.50","0.46K","-0.27%"
"Dec 03, 2019","1,508.60","1,491.10","1,510.30","1,491.10","0.45K","1.04%"
"Dec 02, 2019","1,493.10","1,494.00","1,495.30","1,485.00","0.17K","-0.23%"
"Nov 29, 2019","1,496.60","1,488.00","1,495.40","1,484.20","0.19K","2.35%"
"Nov 28, 2019","1,462.25","1,463.25","1,464.55","1,460.75","-","-1.49%"
"Nov 27, 2019","1,484.40","1,489.20","1,490.20","1,483.90","0.22K","-0.44%"
"Nov 26, 2019","1,491.00","1,484.30","1,492.00","1,481.00","0.31K","0.19%"
"Nov 25, 2019","1,488.10","1,490.90","1,492.00","1,485.20","0.94K","-0.42%"
"Nov 22, 2019","1,494.40","1,497.70","1,502.30","1,492.00","0.70K","0.03%"
"Nov 21, 2019","1,494.00","1,505.50","1,505.70","1,494.00","0.49K","-0.70%"
"Nov 20, 2019","1,504.50","1,505.50","1,509.20","1,498.00","0.69K","-0.02%"
"Nov 19, 2019","1,504.80","1,501.30","1,506.10","1,497.00","1.03K","0.16%"
"Nov 18, 2019","1,502.40","1,498.40","1,502.80","1,488.80","0.82K","0.22%"
"Nov 15, 2019","1,499.10","1,496.30","1,499.90","1,495.90","0.07K","-0.33%"
"Nov 14, 2019","1,504.00","1,495.10","1,504.70","1,494.80","0.84K","0.68%"
"Nov 13, 2019","1,493.90","1,489.90","1,498.10","1,489.90","0.74K","0.65%"
"Nov 12, 2019","1,484.20","1,487.80","1,488.50","1,480.00","0.93K","-0.26%"
"Nov 11, 2019","1,488.00","1,494.00","1,494.00","1,480.10","0.73K","-0.55%"
"Nov 08, 2019","1,496.30","1,500.50","1,503.00","1,488.80","0.35K","-0.09%"
"Nov 07, 2019","1,497.70","1,520.10","1,520.10","1,495.10","1.32K","-1.72%"
"Nov 06, 2019","1,523.90","1,516.70","1,525.40","1,516.10","0.69K","0.62%"
"Nov 05, 2019","1,514.50","1,535.00","1,535.00","1,513.00","1.77K","-1.76%"
"Nov 04, 2019","1,541.60","1,544.80","1,544.80","1,541.00","0.83K","0.02%"
"Nov 01, 2019","1,541.30","1,542.10","1,545.00","1,538.00","0.20K","-0.17%"
"Oct 31, 2019","1,544.00","1,527.00","1,545.00","1,527.00","0.17K","1.15%"
"Oct 30, 2019","1,526.50","1,520.80","1,526.50","1,513.20","1.90K","0.39%"
"Oct 29, 2019","1,520.60","1,524.20","1,524.20","1,515.50","0.22K","-0.34%"
"Oct 28, 2019","1,525.80","1,535.70","1,536.20","1,523.50","0.16K","-0.61%"
"Oct 25, 2019","1,535.10","1,537.50","1,549.90","1,535.00","0.07K","0.08%"
"Oct 24, 2019","1,533.90","1,524.30","1,534.70","1,522.00","0.28K","0.59%"
"Oct 23, 2019","1,524.90","1,522.00","1,526.10","1,522.00","0.03K","0.55%"
"Oct 22, 2019","1,516.60","1,517.30","1,519.00","1,515.00","0.01K","-0.05%"
"Oct 21, 2019","1,517.30","1,524.90","1,524.90","1,515.00","0.11K","-0.37%"
"Oct 18, 2019","1,523.00","1,526.10","1,526.10","1,519.50","0.16K","-0.31%"
"Oct 17, 2019","1,527.80","1,519.90","1,527.60","1,519.90","0.21K","0.29%"
"Oct 16, 2019","1,523.40","1,515.50","1,522.20","1,510.00","0.20K","0.68%"
"Oct 15, 2019","1,513.10","1,522.90","1,524.50","1,513.00","0.23K","-0.92%"
"Oct 14, 2019","1,527.10","1,529.00","1,530.00","1,524.40","0.03K","0.61%"
"Oct 11, 2019","1,517.80","1,533.70","1,534.60","1,508.00","1.04K","-0.78%"
"Oct 10, 2019","1,529.70","1,548.00","1,548.00","1,526.00","0.13K","-0.74%"
"Oct 09, 2019","1,541.10","1,539.70","1,543.00","1,535.00","0.43K","0.60%"
"Oct 08, 2019","1,531.90","1,524.20","1,540.00","1,522.60","0.43K","-0.04%"
"Oct 07, 2019","1,532.50","1,538.90","1,538.90","1,522.20","0.16K","-0.53%"
"Oct 04, 2019","1,540.70","1,541.30","1,541.30","1,530.20","0.07K","-0.04%"
"Oct 03, 2019","1,541.30","1,536.80","1,551.80","1,535.20","0.45K","0.29%"
