"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 05, 2017","92.25","92.60","92.73","92.18","-","-0.42%"
"Sep 04, 2017","92.64","92.66","92.70","92.44","-","-0.18%"
"Sep 01, 2017","92.81","92.61","92.93","92.10","-","0.15%"
"Aug 31, 2017","92.67","92.85","93.35","92.56","-","-0.23%"
"Aug 30, 2017","92.88","92.30","92.95","92.25","-","0.68%"
"Aug 29, 2017","92.25","92.22","92.47","91.62","-","0.04%"
"Aug 28, 2017","92.21","92.32","92.55","92.17","-","-0.57%"
"Aug 25, 2017","92.74","93.27","93.44","92.42","-","-0.58%"
"Aug 24, 2017","93.28","93.16","93.38","93.14","-","0.14%"
"Aug 23, 2017","93.15","93.51","93.63","93.13","-","-0.43%"
"Aug 22, 2017","93.55","93.14","93.58","93.06","-","0.49%"
"Aug 21, 2017","93.09","93.45","93.58","93.00","-","-0.36%"
"Aug 18, 2017","93.43","93.68","93.76","93.33","-","-0.20%"
"Aug 17, 2017","93.62","93.44","94.08","93.31","-","0.09%"
"Aug 16, 2017","93.54","93.83","94.14","93.47","-","-0.33%"
"Aug 15, 2017","93.85","93.46","94.14","93.44","-","0.47%"
"Aug 14, 2017","93.41","93.07","93.50","93.05","-","0.37%"
"Aug 11, 2017","93.07","93.43","93.51","92.93","-","-0.35%"
"Aug 10, 2017","93.40","93.50","93.81","93.32","-","-0.16%"
"Aug 09, 2017","93.55","93.56","93.89","93.49","-","-0.11%"
"Aug 08, 2017","93.65","93.44","93.88","93.24","-","0.24%"
"Aug 07, 2017","93.43","93.51","93.54","93.30","-","-0.12%"
"Aug 04, 2017","93.54","92.76","93.77","92.70","-","0.75%"
"Aug 03, 2017","92.84","92.90","93.04","92.68","-","0.00%"
"Aug 02, 2017","92.84","93.06","93.16","92.55","-","-0.21%"
"Aug 01, 2017","93.04","92.89","93.12","92.78","-","0.19%"
"Jul 31, 2017","92.86","93.36","93.53","92.78","-","-0.43%"
"Jul 28, 2017","93.26","93.87","93.95","93.26","-","-0.64%"
"Jul 27, 2017","93.86","93.46","94.10","93.15","-","0.20%"
"Jul 26, 2017","93.67","94.09","94.28","93.37","-","-0.40%"
"Jul 25, 2017","94.05","94.03","94.12","93.64","-","0.07%"
"Jul 24, 2017","93.98","93.94","94.12","93.82","-","0.13%"
"Jul 21, 2017","93.86","94.30","94.36","93.85","-","-0.48%"
"Jul 20, 2017","94.31","94.77","95.17","94.09","-","-0.50%"
"Jul 19, 2017","94.78","94.69","94.89","94.64","-","0.19%"
"Jul 18, 2017","94.60","95.16","95.19","94.48","-","-0.56%"
"Jul 17, 2017","95.13","95.09","95.35","95.02","-","-0.02%"
"Jul 14, 2017","95.15","95.80","95.83","95.09","-","-0.61%"
"Jul 13, 2017","95.73","95.78","95.92","95.46","-","-0.03%"
"Jul 12, 2017","95.76","95.71","95.98","95.51","-","0.09%"
"Jul 11, 2017","95.67","96.07","96.20","95.65","-","-0.36%"
"Jul 10, 2017","96.02","96.03","96.20","95.95","-","0.01%"
"Jul 07, 2017","96.01","95.80","96.15","95.75","-","0.22%"
"Jul 06, 2017","95.80","96.19","96.34","95.78","-","-0.51%"
"Jul 05, 2017","96.29","96.19","96.51","96.07","-","0.07%"
"Jul 04, 2017","96.22","96.16","96.33","96.05","-","0.00%"
"Jul 03, 2017","96.22","95.65","96.24","95.63","-","0.62%"
"Jun 30, 2017","95.63","95.54","95.83","95.47","-","0.00%"
"Jun 29, 2017","95.63","96.04","96.05","95.53","-","-0.40%"
"Jun 28, 2017","96.01","96.43","96.62","95.97","-","-0.39%"
"Jun 27, 2017","96.39","97.43","97.45","96.34","-","-1.07%"
"Jun 26, 2017","97.43","97.24","97.47","97.11","-","0.17%"
"Jun 23, 2017","97.26","97.56","97.58","97.18","-","-0.34%"
"Jun 22, 2017","97.59","97.55","97.65","97.43","-","0.03%"
"Jun 21, 2017","97.56","97.73","97.80","97.52","-","-0.20%"
"Jun 20, 2017","97.76","97.53","97.87","97.43","-","0.22%"
"Jun 19, 2017","97.55","97.10","97.58","97.05","-","0.40%"
"Jun 16, 2017","97.16","97.48","97.56","97.10","-","-0.28%"
"Jun 15, 2017","97.43","96.93","97.56","96.84","-","0.51%"
"Jun 14, 2017","96.94","97.00","97.12","96.32","-","-0.03%"
"Jun 13, 2017","96.97","97.17","97.28","96.95","-","-0.18%"
"Jun 12, 2017","97.14","97.22","97.32","97.04","-","-0.13%"
"Jun 09, 2017","97.27","97.18","97.50","97.14","-","0.36%"
"Jun 08, 2017","96.92","96.70","97.23","96.59","-","0.18%"
"Jun 07, 2017","96.75","96.54","96.98","96.51","-","0.11%"
"Jun 06, 2017","96.64","96.79","96.80","96.52","-","-0.17%"
"Jun 05, 2017","96.80","96.73","96.97","96.70","-","0.08%"
"Jun 02, 2017","96.72","97.19","97.31","96.65","-","-0.49%"
"Jun 01, 2017","97.20","96.99","97.32","96.90","-","0.29%"
"May 31, 2017","96.92","97.43","97.50","96.86","-","-0.37%"
"May 30, 2017","97.28","97.63","97.78","97.22","-","-0.16%"
"May 29, 2017","97.44","97.43","97.61","97.33","-","0.00%"
"May 26, 2017","97.44","97.23","97.55","97.04","-","0.20%"
"May 25, 2017","97.25","97.07","97.28","96.88","-","0.01%"
"May 24, 2017","97.24","97.34","97.47","97.03","-","-0.11%"
"May 23, 2017","97.35","96.95","97.42","96.80","-","0.38%"
"May 22, 2017","96.98","97.22","97.44","96.80","-","-0.16%"
"May 19, 2017","97.14","97.85","97.85","97.08","-","-0.76%"
"May 18, 2017","97.88","97.44","98.07","97.37","-","0.31%"
"May 17, 2017","97.58","98.09","98.13","97.33","-","-0.54%"
"May 16, 2017","98.11","98.88","98.89","98.08","-","-0.81%"
"May 15, 2017","98.91","99.15","99.26","98.79","-","-0.34%"
"May 12, 2017","99.25","99.63","99.70","99.16","-","-0.37%"
"May 11, 2017","99.62","99.66","99.89","99.49","-","-0.05%"
"May 10, 2017","99.67","99.48","99.72","99.36","-","0.01%"
"May 09, 2017","99.66","99.14","99.69","99.08","-","0.61%"
"May 08, 2017","99.06","98.79","99.19","98.60","-","0.42%"
"May 05, 2017","98.65","98.77","98.97","98.54","-","-0.15%"
"May 04, 2017","98.80","99.35","99.46","98.71","-","-0.41%"
"May 03, 2017","99.21","98.92","99.39","98.89","-","0.23%"
"May 02, 2017","98.98","99.07","99.22","98.92","-","-0.10%"
"May 01, 2017","99.08","98.93","99.21","98.89","-","0.03%"
"Apr 28, 2017","99.05","99.17","99.25","98.72","-","-0.03%"
"Apr 27, 2017","99.08","98.95","99.33","98.81","-","0.03%"
"Apr 26, 2017","99.05","98.85","99.33","98.73","-","0.27%"
"Apr 25, 2017","98.78","99.05","99.22","98.69","-","-0.31%"
"Apr 24, 2017","99.09","98.97","99.33","98.91","-","-0.89%"
"Apr 21, 2017","99.98","99.83","100.03","99.65","-","0.20%"
"Apr 20, 2017","99.78","99.78","99.85","99.37","-","0.04%"
"Apr 19, 2017","99.74","99.51","99.89","99.51","-","0.24%"
"Apr 18, 2017","99.50","100.34","100.40","99.47","-","-0.79%"
"Apr 17, 2017","100.29","100.49","100.47","100.00","-","-0.27%"
"Apr 14, 2017","100.56","100.58","100.61","100.36","-","0.00%"
"Apr 13, 2017","100.56","100.16","100.60","100.01","-","-0.22%"
"Apr 12, 2017","100.78","100.73","100.82","100.09","-","0.07%"
"Apr 11, 2017","100.71","100.97","101.08","100.58","-","-0.31%"
"Apr 10, 2017","101.02","101.18","101.34","100.94","-","-0.16%"
"Apr 07, 2017","101.18","100.73","101.26","100.52","-","0.51%"
"Apr 06, 2017","100.67","100.50","100.77","100.38","-","0.11%"
"Apr 05, 2017","100.56","100.52","100.85","100.41","-","0.02%"
"Apr 04, 2017","100.54","100.49","100.73","100.42","-","0.00%"
"Apr 03, 2017","100.54","100.50","100.69","100.37","-","0.19%"
"Mar 31, 2017","100.35","100.49","100.65","100.25","-","-0.06%"
"Mar 30, 2017","100.41","99.96","100.60","99.92","-","0.41%"
"Mar 29, 2017","100.00","99.70","100.13","99.67","-","0.29%"
"Mar 28, 2017","99.71","99.22","99.79","99.11","-","0.54%"
"Mar 27, 2017","99.17","99.47","99.53","98.86","-","-0.46%"
"Mar 24, 2017","99.63","99.77","100.00","99.53","-","-0.13%"
"Mar 23, 2017","99.76","99.75","99.87","99.63","-","0.08%"
"Mar 22, 2017","99.68","99.69","99.93","99.55","-","-0.13%"
"Mar 21, 2017","99.81","100.37","100.47","99.66","-","-0.60%"
